Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/06  16:50:00,33.9,1.9,105.0,91.3,406.73977611662053 
 03/06  17:00:00,34.2,1.7,192.0,86.2,370.32073781731435 
 03/06  17:10:00,33.8,2.1,232.0,81.4,333.59812910218307 
 03/06  17:20:00,34.1,1.3,204.0,75.76,295.5321093684438 
 03/06  17:30:00,34.8,0.3,126.0,69.7,256.66399147175684 
 03/06  17:40:00,34.4,1.2,137.0,64.25,218.1809257998895 
 03/06  17:50:00,34.5,0.6,131.0,58.67,179.5658374090777 
 03/06  18:00:00,34.0,1.2,139.0,52.81,141.02550224385203 
 03/06  18:10:00,34.0,0.8,193.0,45.11,102.55494680945802 
 03/06  18:20:00,32.9,1.8,163.0,37.02,67.16102135154566 
 03/06  18:30:00,32.0,1.5,115.0,28.11,37.48109087312863 
 03/06  18:40:00,31.5,0.9,109.0,0.0,0.0 
 03/06  18:50:00,30.4,0.7,136.0,0.0,0.0 
 03/06  19:00:00,29.9,0.6,166.0,0.0,0.0 
 03/06  19:10:00,29.6,0.0,86.0,0.0,0.0 
 03/06  19:20:00,29.0,0.3,83.0,0.0,0.0 
 03/06  19:30:00,28.6,0.2,24.0,0.0,0.0 
 03/06  19:40:00,28.0,1.2,176.0,0.0,0.0 
 03/06  19:50:00,27.1,2.2,344.0,0.0,0.0 
 03/06  20:00:00,26.8,2.5,343.0,0.0,0.0 
 03/06  20:10:00,26.4,2.4,344.0,0.0,0.0 
 03/06  20:20:00,25.9,2.2,247.0,0.0,0.0 
 03/06  20:30:00,25.8,1.2,330.0,0.0,0.0 
 03/06  20:40:00,25.9,2.2,249.0,0.0,0.0 
 03/06  20:50:00,25.3,1.8,317.0,0.0,0.0 
 03/06  21:00:00,25.1,2.2,109.0,0.0,0.0 
 03/06  21:10:00,24.8,2.1,336.0,0.0,0.0 
 03/06  21:20:00,25.0,1.4,274.0,0.0,0.0 
 03/06  21:30:00,25.0,1.0,331.0,0.0,0.0 
 03/06  21:40:00,24.5,1.3,339.0,0.0,0.0 
 03/06  21:50:00,24.6,1.6,336.0,0.0,0.0 
 03/06  22:00:00,23.8,1.9,247.0,0.0,0.0 
 03/06  22:10:00,23.8,1.2,307.0,0.0,0.0 
 03/06  22:20:00,23.6,1.2,98.0,0.0,0.0 
 03/06  22:30:00,23.8,0.8,157.0,0.0,0.0 
 03/06  22:40:00,24.4,0.7,29.0,0.0,0.0 
 03/06  22:50:00,24.6,1.9,38.0,0.0,0.0 
 03/06  23:00:00,24.8,1.4,138.0,0.0,0.0 
 03/06  23:10:00,24.2,1.1,326.0,0.0,0.0 
 03/06  23:20:00,23.9,0.9,312.0,0.0,0.0 
 03/06  23:30:00,23.6,1.1,329.0,0.0,0.0 
 03/06  23:40:00,23.2,1.1,107.0,0.0,0.0 
 03/06  23:50:00,22.9,0.8,112.0,0.0,0.0 
 03/06  24:00:00,22.5,0.3,49.0,0.0,0.0 
 03/07  00:10:00,22.5,0.8,53.0,0.0,0.0 
 03/07  00:20:00,22.9,1.1,35.0,0.0,0.0 
 03/07  00:30:00,23.3,1.3,36.0,0.0,0.0 
 03/07  00:40:00,23.3,1.3,38.0,0.0,0.0 
 03/07  00:50:00,23.5,1.6,26.0,0.0,0.0 
 03/07  01:00:00,23.3,0.9,11.0,0.0,0.0 
 03/07  01:10:00,23.1,0.7,42.0,0.0,0.0 
 03/07  01:20:00,23.0,1.7,61.0,0.0,0.0 
 03/07  01:30:00,22.8,0.7,340.0,0.0,0.0 
 03/07  01:40:00,22.8,1.1,22.0,0.0,0.0 
 03/07  01:50:00,22.9,1.1,212.0,0.0,0.0 
 03/07  02:00:00,22.5,1.0,340.0,0.0,0.0 
 03/07  02:10:00,22.6,1.6,312.0,0.0,0.0 
 03/07  02:20:00,22.9,2.0,338.0,0.0,0.0 
 03/07  02:30:00,22.5,2.1,345.0,0.0,0.0 
 03/07  02:40:00,21.6,2.3,346.0,0.0,0.0 
 03/07  02:50:00,21.6,2.0,343.0,0.0,0.0 
 03/07  03:00:00,21.5,2.0,341.0,0.0,0.0 
 03/07  03:10:00,21.6,1.8,279.0,0.0,0.0 
 03/07  03:20:00,21.4,1.6,114.0,0.0,0.0 
 03/07  03:30:00,20.7,1.4,343.0,0.0,0.0 
 03/07  03:40:00,20.4,2.3,338.0,0.0,0.0 
 03/07  03:50:00,20.9,2.9,331.0,0.0,0.0 
 03/07  04:00:00,21.0,2.4,118.0,0.0,0.0 
 03/07  04:10:00,20.9,1.1,29.0,0.0,0.0 
 03/07  04:20:00,20.8,1.5,34.0,0.0,0.0 
 03/07  04:30:00,20.7,1.2,126.0,0.0,0.0 
 03/07  04:40:00,21.0,0.8,124.0,0.0,0.0 
 03/07  04:50:00,20.9,0.9,88.0,0.0,0.0 
 03/07  05:00:00,20.6,0.4,191.0,0.0,0.0 
 03/07  05:10:00,20.5,0.8,204.0,0.0,0.0 
 03/07  05:20:00,20.8,1.1,243.0,0.0,0.0 
 03/07  05:30:00,20.6,1.7,312.0,0.0,0.0 
 03/07  05:40:00,20.3,1.9,343.0,0.0,0.0 
 03/07  05:50:00,20.4,2.0,345.0,0.0,0.0 
 03/07  06:00:00,19.8,2.2,347.0,0.0,0.0 
 03/07  06:10:00,20.0,2.2,146.0,0.0,0.0 
 03/07  06:20:00,19.7,2.2,316.0,0.0,0.0 
 03/07  06:30:00,19.4,2.6,319.0,0.0,0.0 
 03/07  06:40:00,18.8,2.4,303.0,0.0,0.0 
 03/07  06:50:00,19.1,0.4,180.0,0.0,0.0 
 03/07  07:00:00,19.5,0.3,319.0,0.0,0.0 
 03/07  07:10:00,19.2,1.4,111.0,2.747,3.040343721330063 
 03/07  07:20:00,19.3,1.1,333.0,14.35,16.97183316759974 
 03/07  07:30:00,19.3,1.2,306.0,32.94,43.06503926324839 
 03/07  07:40:00,19.8,0.8,332.0,52.16,75.37894366128748 
 03/07  07:50:00,19.6,1.4,320.0,65.52,105.31250513356453 
 03/07  08:00:00,19.8,1.5,302.0,79.5,135.9149098447021 
 03/07  08:10:00,20.2,0.9,289.0,82.2,146.4146438375032 
 03/07  08:20:00,20.9,1.2,280.0,92.5,199.4213934214075 
 03/07  08:30:00,21.5,1.5,259.0,115.2,248.52375326368872 
 03/07  08:40:00,22.3,1.5,237.0,127.5,292.82643772058793 
 03/07  08:50:00,22.5,2.0,230.0,167.5,371.6295938001116 
 03/07  09:00:00,22.9,2.2,222.0,202.4,408.12718532557255 
 03/07  09:10:00,22.6,2.8,205.0,206.9,270.60770033040757 
 03/07  09:20:00,23.1,2.5,211.0,209.2,310.1112378606998 
 03/07  09:30:00,23.2,2.9,223.0,211.5,329.4121178877288 
 03/07  09:40:00,23.5,2.7,188.0,247.1,506.62474275768295 
 03/07  09:50:00,24.0,2.3,179.0,307.9,583.0243513916771 
 03/07  10:00:00,24.2,3.0,177.0,279.2,588.0254432286458 
 03/07  10:10:00,24.5,3.1,160.0,201.7,639.3336481269544 
 03/07  10:20:00,24.9,2.9,176.0,183.6,641.9328225310854 
 03/07  10:30:00,25.6,2.3,201.0,187.6,673.1324407679987 
 03/07  10:40:00,25.1,3.3,173.0,196.6,702.2315485743411 
 03/07  10:50:00,25.3,2.5,188.0,204.5,729.0305700452603 
 03/07  11:00:00,25.5,3.2,175.0,211.0,762.9300078041961 
 03/07  11:10:00,25.7,3.6,221.0,214.1,784.1288680105135 
 03/07  11:20:00,26.3,2.1,185.0,215.6,802.0276369224144 
 03/07  11:30:00,26.2,2.9,145.0,216.6,826.0266703735197 
 03/07  11:40:00,27.1,1.9,183.0,218.7,842.0252737377148 
 03/07  11:50:00,27.2,2.4,201.0,221.5,861.0238802750551 
 03/07  12:00:00,27.4,1.3,177.0,221.7,878.0225583821277 
 03/07  12:10:00,28.5,1.6,191.0,220.9,895.0212286979669 
 03/07  12:20:00,28.0,2.3,154.0,219.2,911.0198492335833 
 03/07  12:30:00,28.4,0.8,122.0,218.6,916.0181281650055 
 03/07  12:40:00,28.2,1.2,138.0,220.3,925.0163383231966 
 03/07  12:50:00,30.2,1.3,96.0,223.5,925.0144600646812 
 03/07  13:00:00,30.2,1.2,90.0,230.7,912.0122444859594 
 03/07  13:10:00,29.5,1.4,87.0,232.4,915.010476635485 
 03/07  13:20:00,28.9,1.7,121.0,233.9,911.0086604310845 
 03/07  13:30:00,29.8,1.7,123.0,231.1,903.0067645858852 
 03/07  13:40:00,30.2,2.1,178.0,232.9,899.0050504982935 
 03/07  13:50:00,30.5,1.8,216.0,236.3,891.0031806044751 
 03/07  14:00:00,31.3,1.7,227.0,239.1,885.0014032273841 
 03/07  14:10:00,30.5,1.9,199.0,247.5,881.9996779875779 
 03/07  14:20:00,30.3,2.7,198.0,273.7,851.9980907392467 
 03/07  14:30:00,30.4,3.0,233.0,255.2,532.8983245560678 
 03/07  14:40:00,29.7,2.2,185.0,237.1,403.8984755344628 
 03/07  14:50:00,29.8,1.8,173.0,207.1,246.19955743201686 
 03/07  15:00:00,29.3,2.8,165.0,216.6,247.59950938788327 
 03/07  15:10:00,29.4,0.9,273.0,188.8,215.89950461050077 
 03/07  15:20:00,29.3,1.5,268.0,165.5,190.9994625467383 
 03/07  15:30:00,29.0,1.6,286.0,144.6,168.79938394427967 
 03/07  15:40:00,28.7,2.7,251.0,166.6,195.3991275142151 
 03/07  15:50:00,28.1,3.6,109.0,276.9,345.69765901736156 
 03/07  16:00:00,28.5,3.2,17.0,269.6,314.8982381095473 
 03/07  16:10:00,28.4,2.8,28.0,257.9,305.2978924735125 
 03/07  16:20:00,28.6,2.1,25.0,228.8,265.7981474068883 
 03/07  16:30:00,29.6,1.5,51.0,280.8,424.79194265900855 
 03/07  16:40:00,30.5,2.1,16.0,242.4,442.087345190443 
 03/07  16:50:00,29.6,3.2,42.0,127.1,180.89612443069726 
 03/07  17:00:00,28.3,3.5,240.0,85.7,99.99883919196765 
 03/07  17:10:00,28.2,2.8,147.0,70.68,83.09883652695785 
 03/07  17:20:00,28.2,1.8,211.0,64.25,76.71866837872035 
 03/07  17:30:00,28.3,2.0,24.0,43.25,51.708921916775495 
 03/07  17:40:00,28.4,1.6,28.0,28.71,34.3591542469616 
 03/07  17:50:00,28.5,1.7,179.0,21.52,26.219130768267256 
 03/07  18:00:00,27.7,4.2,114.0,26.25,31.408791993818205 
 03/07  18:10:00,26.7,5.1,81.0,58.91,79.06367172816194 
 03/07  18:20:00,26.1,5.1,110.0,74.36,90.2924491929413 
 03/07  18:30:00,25.7,4.7,78.0,49.67,59.168705193584174 
 03/07  18:40:00,25.7,4.1,76.0,30.89,30.89 
 03/07  18:50:00,25.4,4.5,113.0,0.0,0.0 
 03/07  19:00:00,25.0,4.2,75.0,0.0,0.0 
 03/07  19:10:00,25.1,4.3,14.0,0.0,0.0 
 03/07  19:20:00,24.5,4.9,46.0,0.0,0.0 
 03/07  19:30:00,24.8,3.9,80.0,0.0,0.0 
 03/07  19:40:00,24.8,2.5,102.0,0.0,0.0 
 03/07  19:50:00,24.9,3.9,69.0,0.0,0.0 
 03/07  20:00:00,24.9,2.6,59.0,0.0,0.0 
 03/07  20:10:00,24.8,1.4,92.0,0.0,0.0 
 03/07  20:20:00,24.6,1.4,116.0,0.0,0.0 
 03/07  20:30:00,24.5,1.3,81.0,0.0,0.0 
 03/07  20:40:00,24.3,0.4,239.0,0.0,0.0 
 03/07  20:50:00,24.0,0.3,240.0,0.0,0.0 
 03/07  21:00:00,24.1,0.4,212.0,0.0,0.0 
 03/07  21:10:00,24.1,1.7,228.0,0.0,0.0 
 03/07  21:20:00,24.0,1.6,200.0,0.0,0.0 
 03/07  21:30:00,23.7,0.5,224.0,0.0,0.0 
 03/07  21:40:00,23.4,2.3,222.0,0.0,0.0 
 03/07  21:50:00,23.2,2.7,219.0,0.0,0.0 
 03/07  22:00:00,23.0,2.4,218.0,0.0,0.0 
 03/07  22:10:00,22.9,1.9,188.0,0.0,0.0 
 03/07  22:20:00,22.8,1.4,156.0,0.0,0.0 
 03/07  22:30:00,22.6,2.4,113.0,0.0,0.0 
 03/07  22:40:00,22.4,1.6,105.0,0.0,0.0 
 03/07  22:50:00,22.2,1.0,112.0,0.0,0.0 
 03/07  23:00:00,22.2,1.5,115.0,0.0,0.0 
 03/07  23:10:00,22.2,1.2,130.0,0.0,0.0 
 03/07  23:20:00,22.1,1.8,141.0,0.0,0.0 
 03/07  23:30:00,21.9,1.9,169.0,0.0,0.0 
 03/07  23:40:00,22.0,1.9,174.0,0.0,0.0 
 03/07  23:50:00,21.8,2.3,163.0,0.0,0.0 
 03/07  24:00:00,21.8,2.4,147.0,0.0,0.0 
 03/08  00:10:00,21.7,1.6,138.0,0.0,0.0 
 03/08  00:20:00,21.5,1.6,139.0,0.0,0.0 
 03/08  00:30:00,21.2,0.9,149.0,0.0,0.0 
 03/08  00:40:00,21.1,1.4,146.0,0.0,0.0 
 03/08  00:50:00,21.0,0.5,178.0,0.0,0.0 
 03/08  01:00:00,20.8,0.0,166.0,0.0,0.0 
 03/08  01:10:00,20.6,0.0,240.0,0.0,0.0 
 03/08  01:20:00,20.3,0.0,345.0,0.0,0.0 
 03/08  01:30:00,19.6,1.7,318.0,0.0,0.0 
 03/08  01:40:00,19.3,1.4,288.0,0.0,0.0 
 03/08  01:50:00,19.6,1.1,302.0,0.0,0.0 
 03/08  02:00:00,19.8,1.2,292.0,0.0,0.0 
 03/08  02:10:00,19.3,2.1,281.0,0.0,0.0 
 03/08  02:20:00,19.5,2.5,284.0,0.0,0.0 
 03/08  02:30:00,19.7,2.3,284.0,0.0,0.0 
 03/08  02:40:00,19.5,2.5,289.0,0.0,0.0 
 03/08  02:50:00,19.4,2.4,294.0,0.0,0.0 
 03/08  03:00:00,19.2,2.2,300.0,0.0,0.0 
 03/08  03:10:00,19.1,1.9,314.0,0.0,0.0 
 03/08  03:20:00,18.8,2.2,338.0,0.0,0.0 
 03/08  03:30:00,18.4,2.3,337.0,0.0,0.0 
 03/08  03:40:00,18.5,2.1,325.0,0.0,0.0 
 03/08  03:50:00,18.5,2.0,311.0,0.0,0.0 
 03/08  04:00:00,18.7,1.6,311.0,0.0,0.0 
 03/08  04:10:00,18.8,1.3,302.0,0.0,0.0 
 03/08  04:20:00,18.6,1.2,308.0,0.0,0.0 
 03/08  04:30:00,18.3,1.3,309.0,0.0,0.0 
 03/08  04:40:00,18.2,1.2,289.0,0.0,0.0 
 03/08  04:50:00,18.1,1.2,263.0,0.0,0.0 
 03/08  05:00:00,18.2,0.8,330.0,0.0,0.0 
 03/08  05:10:00,18.0,1.5,337.0,0.0,0.0 
 03/08  05:20:00,17.9,2.0,322.0,0.0,0.0 
 03/08  05:30:00,18.0,2.2,341.0,0.0,0.0 
 03/08  05:40:00,17.7,2.3,348.0,0.0,0.0 
 03/08  05:50:00,17.0,2.3,316.0,0.0,0.0 
 03/08  06:00:00,17.0,2.4,349.0,0.0,0.0 
 03/08  06:10:00,16.9,2.2,337.0,0.0,0.0 
 03/08  06:20:00,16.9,3.1,334.0,0.0,0.0 
 03/08  06:30:00,16.9,3.1,335.0,0.0,0.0 
 03/08  06:40:00,16.9,2.9,340.0,0.0,0.0 
 03/08  06:50:00,16.8,2.4,341.0,0.0,0.0 
 03/08  07:00:00,16.8,2.4,343.0,0.0,0.03426640040289079 
 03/08  07:10:00,16.5,2.6,340.0,2.338,2.9250393811589865 
 03/08  07:20:00,16.5,2.5,343.0,10.8,13.640453210948397 
 03/08  07:30:00,16.6,2.5,343.0,22.83,33.10778979744213 
 03/08  07:40:00,16.8,2.4,342.0,35.11,60.235947922083334 
 03/08  07:50:00,17.2,2.3,344.0,46.8,91.35141868306924 
 03/08  08:00:00,17.5,1.8,337.0,57.46,125.75254575510769 
 03/08  08:10:00,18.0,1.3,319.0,67.17,162.17042590681723 
 03/08  08:20:00,18.7,1.4,335.0,76.1,201.1942756826527 
 03/08  08:30:00,19.5,0.9,295.0,83.9,240.14166776789966 
 03/08  08:40:00,20.2,0.7,266.0,91.1,279.00975081046437 
 03/08  08:50:00,20.4,1.6,251.0,98.3,321.4704997410831 
 03/08  09:00:00,21.1,0.9,228.0,104.4,361.2599328065186 
 03/08  09:10:00,21.4,1.1,157.0,110.1,403.9411187454614 
 03/08  09:20:00,22.0,1.4,154.0,115.9,443.95111978015484 
 03/08  09:30:00,22.5,1.3,218.0,121.5,480.487513785599 
 03/08  09:40:00,22.1,2.3,166.0,125.7,519.1099271492081 
 03/08  09:50:00,22.3,1.7,149.0,130.2,555.8488860689608 
 03/08  10:00:00,23.1,1.6,200.0,133.0,597.3599804220567 
 03/08  10:10:00,23.0,1.6,213.0,137.5,622.9580157897815 
 03/08  10:20:00,22.7,2.4,232.0,140.2,661.5883053642076 
 03/08  10:30:00,22.2,1.9,185.0,143.9,698.234453133511 
 03/08  10:40:00,23.5,2.5,175.0,147.2,728.4073343628677 
 03/08  10:50:00,24.3,1.9,178.0,148.1,763.5505853995123 
 03/08  11:00:00,24.7,2.1,149.0,149.2,791.5236331356916 
 03/08  11:10:00,25.1,1.6,156.0,149.2,807.9743141169179 
 03/08  11:20:00,25.8,1.9,125.0,150.2,823.1323627928675 
 03/08  11:30:00,26.2,1.8,104.0,151.8,837.4388839486901 
 03/08  11:40:00,26.4,1.9,147.0,153.0,849.8688594023375 
 03/08  11:50:00,26.4,2.4,97.0,158.7,865.300307830327 
 03/08  12:00:00,25.9,2.1,130.0,168.1,882.914216244016 
 03/08  12:10:00,26.0,1.8,201.0,176.5,897.9945218389968 
 03/08  12:20:00,26.2,3.2,243.0,193.4,920.0282296968104 
 03/08  12:30:00,26.0,1.9,115.0,266.1,993.7307349122501 
 03/08  12:40:00,27.3,1.5,179.0,306.2,817.4315727320788 
 03/08  12:50:00,27.9,1.6,175.0,288.0,894.1679977331157 
 03/08  13:00:00,28.3,1.8,220.0,280.6,937.0429587912619 
 03/08  13:10:00,27.8,2.5,182.0,212.5,941.3524536673214 
 03/08  13:20:00,28.8,0.9,168.0,233.1,957.7022736543752 
 03/08  13:30:00,29.6,1.9,121.0,254.8,973.5993182073769 
 03/08  13:40:00,29.0,2.5,84.0,242.0,953.454905583063 
 03/08  13:50:00,29.3,2.2,157.0,230.6,933.1831814334441 
 03/08  14:00:00,28.7,1.6,178.0,239.1,931.3015141604824 
 03/08  14:10:00,30.1,1.7,168.0,246.4,876.2246604659529 
 03/08  14:20:00,29.3,1.3,102.0,262.0,928.9927537680065 
 03/08  14:30:00,30.8,1.8,144.0,254.7,886.2228894167595 
 03/08  14:40:00,30.1,2.7,116.0,242.2,869.2321281457077 
 03/08  14:50:00,30.6,2.1,106.0,271.6,890.0577393937036 
 03/08  15:00:00,31.0,2.1,165.0,295.0,894.5449647920451 
 03/08  15:10:00,31.0,2.2,164.0,309.4,819.5345986206728 
 03/08  15:20:00,30.8,2.1,175.0,329.2,767.8258928725794 
 03/08  15:30:00,31.3,2.0,161.0,260.0,766.0095763255345 
 03/08  15:40:00,31.3,2.0,139.0,274.2,757.0532814714392 
 03/08  15:50:00,31.7,1.5,196.0,318.9,728.6469861170979 
 03/08  16:00:00,31.7,1.8,127.0,290.7,708.7899853231513 
 03/08  16:10:00,31.9,2.3,111.0,236.8,637.0096177327673 
 03/08  16:20:00,31.7,1.1,98.0,232.7,408.31450262983725 
 03/08  16:30:00,31.1,1.6,131.0,198.2,453.51486910341237 
 03/08  16:40:00,32.2,1.5,106.0,188.0,487.51334781189206 
 03/08  16:50:00,32.5,1.9,80.0,214.3,492.03756499563696 
 03/08  17:00:00,31.2,2.0,123.0,204.6,459.0645034928662 
 03/08  17:10:00,31.2,1.7,115.0,179.2,369.96534030202804 
 03/08  17:20:00,32.5,1.1,134.0,172.7,373.14467630926407 
 03/08  17:30:00,32.5,1.9,124.0,165.4,342.66442277409715 
 03/08  17:40:00,32.5,1.3,88.0,157.1,299.8476888802875 
 03/08  17:50:00,31.7,1.1,91.0,116.5,221.37090741383668 
 03/08  18:00:00,30.9,1.3,89.0,89.6,153.95698141237744 
 03/08  18:10:00,30.8,0.7,120.0,72.96,130.9221256367805 
 03/08  18:20:00,30.6,1.0,96.0,56.52,87.39220488940074 
 03/08  18:30:00,30.0,1.1,63.0,36.8,46.42545176193495 
 03/08  18:40:00,29.3,0.3,78.0,20.47,20.47 
 03/08  18:50:00,29.2,0.0,68.0,0.0,0.0 
 03/08  19:00:00,29.0,0.1,68.0,0.0,0.0 
 03/08  19:10:00,28.8,0.4,89.0,0.0,0.0 
 03/08  19:20:00,28.4,0.9,14.0,0.0,0.0 
 03/08  19:30:00,28.0,1.3,251.0,0.0,0.0 
 03/08  19:40:00,27.8,1.3,339.0,0.0,0.0 
 03/08  19:50:00,27.8,1.6,343.0,0.0,0.0 
 03/08  20:00:00,27.1,2.5,343.0,0.0,0.0 
 03/08  20:10:00,26.5,2.2,342.0,0.0,0.0 
 03/08  20:20:00,26.2,1.9,300.0,0.0,0.0 
 03/08  20:30:00,26.0,1.0,279.0,0.0,0.0 
 03/08  20:40:00,26.2,0.0,328.0,0.0,0.0 
 03/08  20:50:00,26.2,1.2,296.0,0.0,0.0 
 03/08  21:00:00,26.1,0.6,75.0,0.0,0.0 
 03/08  21:10:00,26.1,0.0,204.0,0.0,0.0 
 03/08  21:20:00,26.0,0.3,293.0,0.0,0.0 
 03/08  21:30:00,26.0,0.6,316.0,0.0,0.0 
 03/08  21:40:00,26.0,0.4,315.0,0.0,0.0 
 03/08  21:50:00,25.7,1.1,232.0,0.0,0.0 
 03/08  22:00:00,25.2,0.8,181.0,0.0,0.0 
 03/08  22:10:00,25.2,0.0,71.0,0.0,0.0 
 03/08  22:20:00,25.1,0.0,13.0,0.0,0.0 
 03/08  22:30:00,24.5,1.2,245.0,0.0,0.0 
 03/08  22:40:00,24.1,1.9,347.0,0.0,0.0 
 03/08  22:50:00,24.2,2.0,355.0,0.0,0.0 
 03/08  23:00:00,24.1,1.5,346.0,0.0,0.0 
 03/08  23:10:00,23.9,1.9,218.0,0.0,0.0 
 03/08  23:20:00,24.0,1.8,100.0,0.0,0.0 
 03/08  23:30:00,24.1,0.4,214.0,0.0,0.0 
 03/08  23:40:00,23.9,0.6,154.0,0.0,0.0 
 03/08  23:50:00,24.0,0.3,346.0,0.0,0.0 
 03/08  24:00:00,23.5,1.1,184.0,0.0,0.0 
 03/09  00:10:00,23.5,1.1,112.0,0.0,0.0 
 03/09  00:20:00,23.4,0.4,72.0,0.0,0.0 
 03/09  00:30:00,23.0,0.0,49.0,0.0,0.0 
 03/09  00:40:00,23.0,1.0,49.0,0.0,0.0 
 03/09  00:50:00,22.8,0.9,42.0,0.0,0.0 
 03/09  01:00:00,23.1,1.0,36.0,0.0,0.0 
 03/09  01:10:00,23.2,1.0,35.0,0.0,0.0 
 03/09  01:20:00,23.2,0.3,113.0,0.0,0.0 
 03/09  01:30:00,23.0,1.5,16.0,0.0,0.0 
 03/09  01:40:00,22.7,1.4,17.0,0.0,0.0 
 03/09  01:50:00,22.9,0.8,9.0,0.0,0.0 
 03/09  02:00:00,22.8,1.4,45.0,0.0,0.0 
 03/09  02:10:00,22.8,1.5,15.0,0.0,0.0 
 03/09  02:20:00,22.9,1.4,79.0,0.0,0.0 
 03/09  02:30:00,22.9,1.4,113.0,0.0,0.0 
 03/09  02:40:00,22.8,1.1,216.0,0.0,0.0 
 03/09  02:50:00,22.6,1.0,218.0,0.0,0.0 
 03/09  03:00:00,22.2,0.4,239.0,0.0,0.0 
 03/09  03:10:00,22.2,1.0,253.0,0.0,0.0 
 03/09  03:20:00,22.2,0.9,233.0,0.0,0.0 
 03/09  03:30:00,22.1,1.3,228.0,0.0,0.0 
 03/09  03:40:00,21.9,0.3,123.0,0.0,0.0 
 03/09  03:50:00,21.7,0.1,94.0,0.0,0.0 
 03/09  04:00:00,21.4,0.0,80.0,0.0,0.0 
 03/09  04:10:00,21.0,0.6,76.0,0.0,0.0 
 03/09  04:20:00,20.5,1.3,39.0,0.0,0.0 
 03/09  04:30:00,20.6,1.0,343.0,0.0,0.0 
 03/09  04:40:00,20.3,2.1,279.0,0.0,0.0 
 03/09  04:50:00,20.0,2.4,311.0,0.0,0.0 
 03/09  05:00:00,20.1,2.0,328.0,0.0,0.0 
 03/09  05:10:00,20.8,1.8,336.0,0.0,0.0 
 03/09  05:20:00,20.5,1.4,306.0,0.0,0.0 
 03/09  05:30:00,20.5,1.0,317.0,0.0,0.0 
 03/09  05:40:00,19.9,1.2,279.0,0.0,0.0 
 03/09  05:50:00,19.6,1.5,45.0,0.0,0.0 
 03/09  06:00:00,19.3,1.7,147.0,0.0,0.0 
 03/09  06:10:00,19.3,1.8,277.0,0.0,0.0 
 03/09  06:20:00,19.6,1.3,100.0,0.0,0.0 
 03/09  06:30:00,19.7,0.3,27.0,0.0,0.0 
 03/09  06:40:00,19.7,0.5,81.0,0.0,0.0 
 03/09  06:50:00,19.6,0.6,212.0,0.0,0.0 
 03/09  07:00:00,19.0,1.4,282.0,0.0,0.0 
 03/09  07:10:00,19.1,2.0,347.0,2.5,2.5 
 03/09  07:20:00,18.9,2.5,346.0,10.56,13.266661200227077 
 03/09  07:30:00,18.8,2.6,353.0,22.04,32.72959012051504 
 03/09  07:40:00,18.7,2.1,283.0,34.03,58.5794151222767 
 03/09  07:50:00,18.7,1.7,146.0,45.49,88.52891616567 
 03/09  08:00:00,19.1,1.6,17.0,56.44,123.02460580060689 
 03/09  08:10:00,20.0,0.9,32.0,66.41,159.84764724974764 
 03/09  08:20:00,20.8,0.6,37.0,75.21,198.39474639606044 
 03/09  08:30:00,22.1,0.2,85.0,82.4,236.6840659954646 
 03/09  08:40:00,22.8,0.6,108.0,88.7,278.74961373747766 
 03/09  08:50:00,23.7,0.1,152.0,93.9,320.1582093816246 
 03/09  09:00:00,24.0,0.6,160.0,98.0,358.43308547714673 
 03/09  09:10:00,24.2,1.2,138.0,101.8,405.3200028487433 
 03/09  09:20:00,24.6,1.0,131.0,105.3,450.8539225505982 
 03/09  09:30:00,25.0,0.9,146.0,108.7,488.9964699993319 
 03/09  09:40:00,25.3,1.4,147.0,113.4,525.2852768460898 
 03/09  09:50:00,25.0,1.9,160.0,117.9,566.5282136015992 
 03/09  10:00:00,26.0,0.7,171.0,121.9,602.329567008252 
 03/09  10:10:00,25.9,1.6,184.0,124.9,638.1260111199724 
 03/09  10:20:00,26.7,0.5,156.0,126.1,671.9283585068378 
 03/09  10:30:00,25.6,2.4,123.0,129.2,707.534903765023 
 03/09  10:40:00,26.1,1.2,160.0,131.4,738.7726194694003 
 03/09  10:50:00,26.8,1.5,170.0,133.6,759.7463988265959 
 03/09  11:00:00,26.7,1.5,154.0,134.5,777.6048884575986 
 03/09  11:10:00,26.3,1.3,109.0,135.2,793.8717042809269 
 03/09  11:20:00,26.9,1.8,148.0,136.8,809.616032087026 
 03/09  11:30:00,27.5,1.7,172.0,137.6,823.1100915185766 
 03/09  11:40:00,27.6,1.5,230.0,139.0,835.7288298922655 
 03/09  11:50:00,26.7,1.8,132.0,139.7,846.1502059452203 
 03/09  12:00:00,27.0,2.1,110.0,139.4,854.0552132182623 
 03/09  12:10:00,28.0,1.8,93.0,140.3,861.627689175393 
 03/09  12:20:00,28.6,2.1,114.0,141.2,867.6547025014618 
 03/09  12:30:00,27.2,1.6,147.0,142.7,872.7261758586535 
 03/09  12:40:00,29.1,2.2,94.0,144.5,876.5349828098335 
 03/09  12:50:00,29.5,1.5,130.0,145.0,877.4773508262008 
