Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/04  15:00:00,30.4,1.5,112.0,130.5,730.5147554563414 
 03/04  15:10:00,30.4,2.3,122.0,129.0,708.7504240639973 
 03/04  15:20:00,30.7,1.5,212.0,125.9,684.115446259829 
 03/04  15:30:00,30.8,2.7,231.0,123.5,658.9527843239688 
 03/04  15:40:00,29.5,2.4,153.0,121.1,632.6082641420663 
 03/04  15:50:00,30.7,1.7,147.0,118.0,604.4306869143762 
 03/04  16:00:00,31.5,1.9,136.0,115.2,575.4715353048401 
 03/04  16:10:00,31.5,2.1,172.0,112.8,545.8853701710137 
 03/04  16:20:00,32.0,1.8,238.0,110.1,515.0300353367414 
 03/04  16:30:00,31.7,1.4,164.0,106.2,482.0668721704119 
 03/04  16:40:00,32.4,0.9,160.0,100.8,446.76144490051075 
 03/04  16:50:00,32.0,1.5,156.0,97.5,412.78429648777797 
 03/04  17:00:00,31.8,2.3,159.0,94.6,378.5124869197905 
 03/04  17:10:00,32.0,1.3,162.0,90.0,341.93201399643607 
 03/04  17:20:00,32.6,1.7,175.0,85.1,304.54203192029337 
 03/04  17:30:00,31.7,2.2,216.0,80.5,267.0625034854984 
 03/04  17:40:00,31.2,2.5,191.0,74.21,227.65868746185464 
 03/04  17:50:00,31.1,1.8,202.0,66.44,186.761433218129 
 03/04  18:00:00,31.1,1.6,207.0,58.72,146.25614691267066 
 03/04  18:10:00,30.8,1.7,184.0,49.93,106.72823826148783 
 03/04  18:20:00,30.1,2.0,177.0,41.03,70.42659669804316 
 03/04  18:30:00,30.2,1.2,206.0,29.8,38.91331794934726 
 03/04  18:40:00,29.8,1.2,206.0,0.0,0.0 
 03/04  18:50:00,29.0,0.9,241.0,0.0,0.0 
 03/04  19:00:00,28.3,0.2,279.0,0.0,0.0 
 03/04  19:10:00,27.8,0.0,255.0,0.0,0.0 
 03/04  19:20:00,27.1,0.0,303.0,0.0,0.0 
 03/04  19:30:00,26.5,0.6,340.0,0.0,0.0 
 03/04  19:40:00,25.8,2.0,346.0,0.0,0.0 
 03/04  19:50:00,25.4,2.6,316.0,0.0,0.0 
 03/04  20:00:00,25.0,2.4,318.0,0.0,0.0 
 03/04  20:10:00,24.7,2.3,321.0,0.0,0.0 
 03/04  20:20:00,24.3,2.2,353.0,0.0,0.0 
 03/04  20:30:00,24.3,2.2,316.0,0.0,0.0 
 03/04  20:40:00,24.2,2.8,239.0,0.0,0.0 
 03/04  20:50:00,24.0,2.7,310.0,0.0,0.0 
 03/04  21:00:00,24.4,3.1,348.0,0.0,0.0 
 03/04  21:10:00,24.2,2.1,251.0,0.0,0.0 
 03/04  21:20:00,24.0,1.2,110.0,0.0,0.0 
 03/04  21:30:00,24.0,1.6,279.0,0.0,0.0 
 03/04  21:40:00,23.8,2.0,348.0,0.0,0.0 
 03/04  21:50:00,23.8,2.7,355.0,0.0,0.0 
 03/04  22:00:00,23.5,2.1,355.0,0.0,0.0 
 03/04  22:10:00,23.5,2.2,284.0,0.0,0.0 
 03/04  22:20:00,23.4,1.5,319.0,0.0,0.0 
 03/04  22:30:00,23.6,1.5,109.0,0.0,0.0 
 03/04  22:40:00,23.5,0.3,273.0,0.0,0.0 
